Library ID,species,taxonomy,coverage
CPo-JS-I5,Cavia porcellus,Adenoviridae,0.168038447
OC-HeB-I1,Oryctolagus cuniculus,Adenoviridae,0.171742958
NP-HLJ-L6,Nyctereutes procyonoides,Anelloviridae,0.827102804
NP-SD-L3,Nyctereutes procyonoides,Anelloviridae,0.852264558
SV-HeB-I2,Sciurus vulgaris,Arteriviridae,0.81379841
SV-HeB-I3,Sciurus vulgaris,Arteriviridae,0.848102077
SV-HeB-I4,Sciurus vulgaris,Arteriviridae,0.347717363
SV-HeB-L1,Sciurus vulgaris,Arteriviridae,0.463067453
SV-SaX-I2,Sciurus vulgaris,Arteriviridae,0.621826109
CN-AH-I1,Cervus nippon,Astroviridae,0.801684533
CN-AH-I1,Cervus nippon,Astroviridae,0.955130168
CPo-FJ-I1,Cavia porcellus,Astroviridae,0.949538462
CPo-FJ-I1,Cavia porcellus,Astroviridae,0.626416805
CPo-FJ-I2,Cavia porcellus,Astroviridae,0.558
CPo-FJ-I2,Cavia porcellus,Astroviridae,1.004684903
CPo-FJ-I2,Cavia porcellus,Astroviridae,1.013384615
CPo-FJ-L1,Cavia porcellus,Astroviridae,0.921538462
CPo-GX-I14,Cavia porcellus,Astroviridae,0.553423001
CPo-GX-I14,Cavia porcellus,Astroviridae,0.641384615
CPo-GX-I2,Cavia porcellus,Astroviridae,0.218225782
CPo-GX-I6,Cavia porcellus,Astroviridae,0.840562188
CPo-GX-I6,Cavia porcellus,Astroviridae,1.014153846
CPo-GZ-I3,Cavia porcellus,Astroviridae,0.977076923
CPo-GZ-I3,Cavia porcellus,Astroviridae,1.009974309
CPo-GZ-I5,Cavia porcellus,Astroviridae,0.666011788
CPo-GZ-I5,Cavia porcellus,Astroviridae,1.013692308
CPo-GZ-L3,Cavia porcellus,Astroviridae,1.015076923
CPo-GZ-L9,Cavia porcellus,Astroviridae,1.045538462
CPo-HeN-I2,Cavia porcellus,Astroviridae,1.015230769
CPo-HeN-I2,Cavia porcellus,Astroviridae,0.350309808
CPo-HeN-I2,Cavia porcellus,Astroviridae,1.005692308
CPo-HuB-I1,Cavia porcellus,Astroviridae,0.986615385
CPo-HuB-I10,Cavia porcellus,Astroviridae,1.014769231
CPo-HuB-I10,Cavia porcellus,Astroviridae,0.60858395
CPo-HuB-I10,Cavia porcellus,Astroviridae,0.375230769
CPo-HuB-I12,Cavia porcellus,Astroviridae,0.250461538
CPo-HuB-I12,Cavia porcellus,Astroviridae,0.681275502
CPo-HuB-I12,Cavia porcellus,Astroviridae,0.717538462
CPo-HuB-I13,Cavia porcellus,Astroviridae,0.222
CPo-HuB-I13,Cavia porcellus,Astroviridae,0.154601783
CPo-HuB-I13,Cavia porcellus,Astroviridae,0.631846154
CPo-HuB-I14,Cavia porcellus,Astroviridae,0.163971588
CPo-HuB-I15,Cavia porcellus,Astroviridae,1.011787819
CPo-HuB-I3,Cavia porcellus,Astroviridae,0.767115007
CPo-HuB-I7,Cavia porcellus,Astroviridae,1.015230769
CPo-HuB-I7,Cavia porcellus,Astroviridae,0.40169261
CPo-HuB-I7,Cavia porcellus,Astroviridae,0.278923077
CPo-HuN-I8,Cavia porcellus,Astroviridae,0.900769231
CPo-HuN-I8,Cavia porcellus,Astroviridae,1.014153846
CPo-JS-I1,Cavia porcellus,Astroviridae,1.015230769
CPo-JS-I1,Cavia porcellus,Astroviridae,1.014
CPo-JS-I3,Cavia porcellus,Astroviridae,1.013538462
CPo-JS-I4,Cavia porcellus,Astroviridae,1.015230769
CPo-JS-I4,Cavia porcellus,Astroviridae,1.014
CPo-JS-I5,Cavia porcellus,Astroviridae,1.01027656
CPo-JS-I5,Cavia porcellus,Astroviridae,1.014153846
CPo-JX-I4,Cavia porcellus,Astroviridae,0.993230769
CPo-ZJ-I2,Cavia porcellus,Astroviridae,0.781076923
CPo-ZJ-I2,Cavia porcellus,Astroviridae,1.009974309
CPy-HeB-I1,Capreolus pygargus,Astroviridae,0.936294028
CPy-HeB-I1,Capreolus pygargus,Astroviridae,0.803062787
CPy-JL-I1,Capreolus pygargus,Astroviridae,0.956049005
CPy-JL-I2,Capreolus pygargus,Astroviridae,0.896477795
CPy-JL-I6,Capreolus pygargus,Astroviridae,0.950535988
CPy-JL-I9,Capreolus pygargus,Astroviridae,0.502143951
CPy-JL-L1,Capreolus pygargus,Astroviridae,0.963705972
HI-JL-I1,Hydropotes inermis,Astroviridae,0.574732006
HI-JL-I1,Hydropotes inermis,Astroviridae,0.64992343
MC-GX-I4,Myocastor coypus,Astroviridae,0.99049954
MC-HeB-I3,Myocastor coypus,Astroviridae,0.974252014
MC-HeB-I3,Myocastor coypus,Astroviridae,0.352589641
MH-SD-I8,Marmota himalayana,Astroviridae,0.681317044
MH-ZJ-I1,Marmota himalayana,Astroviridae,0.98897497
NP-IMG-I3,Nyctereutes procyonoides,Astroviridae,0.991083573
NP-IMG-I5,Nyctereutes procyonoides,Astroviridae,0.982922775
NP-JS-I6,Nyctereutes procyonoides,Astroviridae,1.004186047
NP-SD-I2,Nyctereutes procyonoides,Astroviridae,1.019248257
NP-SD-L2,Nyctereutes procyonoides,Astroviridae,1.019248257
NV-SD-I12,Neogale vison,Astroviridae,1.024704456
NV-SD-I20,Neogale vison,Astroviridae,0.96096823
NV-SD-I24,Neogale vison,Astroviridae,0.898514487
NV-SD-I28,Neogale vison,Astroviridae,0.975340393
OC-FJ-I3,Oryctolagus cuniculus,Astroviridae,0.994288046
OC-FJ-L3,Oryctolagus cuniculus,Astroviridae,0.788929689
OC-HeB-I2,Oryctolagus cuniculus,Astroviridae,0.994560044
OC-HeB-I3,Oryctolagus cuniculus,Astroviridae,0.89256086
OC-HeB-I6,Oryctolagus cuniculus,Astroviridae,0.987352101
OC-HeB-L2,Oryctolagus cuniculus,Astroviridae,0.534475724
OC-HeB-L3,Oryctolagus cuniculus,Astroviridae,0.98871209
OC-JS-I7,Oryctolagus cuniculus,Astroviridae,0.948592411
OC-JS-I8,Oryctolagus cuniculus,Astroviridae,0.994288046
OC-JS-I9,Oryctolagus cuniculus,Astroviridae,0.775873793
OC-SC-I3,Oryctolagus cuniculus,Astroviridae,0.994560044
OC-SC-L3,Oryctolagus cuniculus,Astroviridae,0.994560044
OC-SD-I1,Oryctolagus cuniculus,Astroviridae,0.80252958
OC-SD-I14,Oryctolagus cuniculus,Astroviridae,0.994288046
OC-SD-I16,Oryctolagus cuniculus,Astroviridae,0.990208078
OC-SD-I21,Oryctolagus cuniculus,Astroviridae,0.994696042
OC-SD-I22,Oryctolagus cuniculus,Astroviridae,0.994696042
OC-SD-I23,Oryctolagus cuniculus,Astroviridae,0.992112063
OC-SD-L16,Oryctolagus cuniculus,Astroviridae,0.99374405
SV-GS-I2,Sciurus vulgaris,Astroviridae,0.959565652
SV-HuN-I3,Sciurus vulgaris,Astroviridae,0.989220819
SV-SaX-I2,Sciurus vulgaris,Astroviridae,0.770395771
SV-SaX-I3,Sciurus vulgaris,Astroviridae,0.959565652
SV-ZJ-L1,Sciurus vulgaris,Astroviridae,0.995534339
VL-HeB-I4,Vulpes lagopus,Astroviridae,0.995466223
VL-IMG-I5,Vulpes lagopus,Astroviridae,0.978023644
VL-IMG-I6,Vulpes lagopus,Astroviridae,0.99151258
VL-SD-L5,Vulpes lagopus,Astroviridae,0.997279734
VL-SX-I1,Vulpes lagopus,Astroviridae,0.995163972
VL-SX-I3,Vulpes lagopus,Astroviridae,0.471051834
CPy-JL-I2,Capreolus pygargus,Caliciviridae,0.776591485
CPy-JL-I3,Capreolus pygargus,Caliciviridae,0.983096324
CPy-JL-I6,Capreolus pygargus,Caliciviridae,0.414140059
HI-ZJ-I1,Hydropotes inermis,Caliciviridae,0.595104608
MH-HuN-I5,Marmota himalayana,Caliciviridae,0.377077516
ML-HeB-I1,Meles leucurus,Caliciviridae,0.577377401
ML-HeB-I6,Meles leucurus,Caliciviridae,0.557093426
ML-LN-L1,Meles leucurus,Caliciviridae,0.878534781
NP-JS-I1,Nyctereutes procyonoides,Caliciviridae,0.922439087
NP-JS-I1,Nyctereutes procyonoides,Caliciviridae,0.99384121
NV-HeB-I2,Neogale vison,Caliciviridae,0.572904707
NV-HeB-I3,Neogale vison,Caliciviridae,0.625489498
NV-HeB-I5,Neogale vison,Caliciviridae,0.424706301
NV-JL-I2,Neogale vison,Caliciviridae,0.992998695
NV-JL-I4,Neogale vison,Caliciviridae,0.451880859
NV-JL-I5,Neogale vison,Caliciviridae,0.404295716
NV-JL-I5,Neogale vison,Caliciviridae,0.424912845
NV-JL-I5,Neogale vison,Caliciviridae,0.960581707
NV-JS-I2,Neogale vison,Caliciviridae,1.087959238
NV-JS-I4,Neogale vison,Caliciviridae,0.497804675
NV-JS-I5,Neogale vison,Caliciviridae,0.99905067
NV-JS-I6,Neogale vison,Caliciviridae,0.082059533
NV-SD-I15,Neogale vison,Caliciviridae,1.003954586
NV-SD-I2,Neogale vison,Caliciviridae,0.272220244
NV-SD-I21,Neogale vison,Caliciviridae,0.195233731
NV-SD-I22,Neogale vison,Caliciviridae,0.518927258
NV-SD-I24,Neogale vison,Caliciviridae,0.719227675
NV-SD-I29,Neogale vison,Caliciviridae,0.185036203
NV-SD-I36,Neogale vison,Caliciviridae,0.749733001
OC-AH-I1,Oryctolagus cuniculus,Caliciviridae,0.989653319
OC-AH-I2,Oryctolagus cuniculus,Caliciviridae,0.990190809
OC-AH-I3,Oryctolagus cuniculus,Caliciviridae,0.975275464
OC-AH-L1,Oryctolagus cuniculus,Caliciviridae,0.989653319
OC-AH-L2,Oryctolagus cuniculus,Caliciviridae,0.990190809
OC-AH-L3,Oryctolagus cuniculus,Caliciviridae,0.989653319
OC-JS-I7,Oryctolagus cuniculus,Caliciviridae,0.987368987
OC-JS-I8,Oryctolagus cuniculus,Caliciviridae,0.983875302
OC-JS-I9,Oryctolagus cuniculus,Caliciviridae,0.987368987
OC-JS-L7,Oryctolagus cuniculus,Caliciviridae,0.63813491
OC-SC-I1,Oryctolagus cuniculus,Caliciviridae,0.757054555
VL-HLJ-I3,Vulpes lagopus,Caliciviridae,0.453776577
VL-JL-I2,Vulpes lagopus,Caliciviridae,0.252838372
VL-SD-L5,Vulpes lagopus,Caliciviridae,0.946676872
CPo-HuB-I3,Cavia porcellus,Circoviridae,1.677480916
CPy-JL-L3,Capreolus pygargus,Circoviridae,0.908418658
HI-JL-I1,Hydropotes inermis,Circoviridae,0.823347107
MH-ZJ-I1,Marmota himalayana,Circoviridae,0.798799859
NP-HLJ-L6,Nyctereutes procyonoides,Circoviridae,1.006786234
NV-HeB-I1,Neogale vison,Circoviridae,1.080433542
NV-HeB-L1,Neogale vison,Circoviridae,0.719908728
NV-SD-I17,Neogale vison,Circoviridae,1.003993155
NV-SD-L17,Neogale vison,Circoviridae,1.025099829
NV-SD-L3,Neogale vison,Circoviridae,0.890473474
NV-SD-L4,Neogale vison,Circoviridae,0.932686823
OC-SD-I14,Oryctolagus cuniculus,Circoviridae,1.092191436
OC-SD-I3,Oryctolagus cuniculus,Circoviridae,0.970086591
VVi-TJ-I1,Vicugna vicugna,Circoviridae,0.394571013
VVi-TJ-L1,Vicugna vicugna,Circoviridae,0.625787688
CPo-GX-I11,Cavia porcellus,Coronaviridae,0.998745981
CPo-GX-I13,Cavia porcellus,Coronaviridae,0.998745981
CPo-GX-I14,Cavia porcellus,Coronaviridae,0.996334405
CPo-GX-I3,Cavia porcellus,Coronaviridae,0.910032154
CPo-GX-I7,Cavia porcellus,Coronaviridae,0.998745981
CPo-GX-I8,Cavia porcellus,Coronaviridae,0.998745981
CPo-GX-I9,Cavia porcellus,Coronaviridae,0.998745981
CPo-HeN-I2,Cavia porcellus,Coronaviridae,0.998617363
